Title,View,View1,shortprofile,shortprofile2
Reward Points,HSBC Bank Credit Card,I get 2 reward points per INR 150 spent with my card.,"Rishi
Posted on: Aug 11, 2019",Rishi
Content,HSBC Bank Credit Card,Content with the massive array of benefits that come with the spending done with this card.,"Kashif
Posted on: Aug 11, 2019",Kashif
Super delighted,HSBC Bank Credit Card,I am super delighted with the fascinating offers which are coming my way with this card.,"Sona
Posted on: Aug 11, 2019",Sona
Great scheme,HSBC Bank Credit Card,"Given the massive offers, it is a great scheme of card.","Govardhan
Posted on: Aug 11, 2019",Govardhan
Massive benefits,HSBC Bank Credit Card,Supremely impressed by the massive benefits available with my HSBC card.,"Mobin
Posted on: Aug 11, 2019",Mobin
Supremely impressed,HSBC Bank Credit Card,Supremely impressed by the massive benefits available with my HSBC card.,"Sudarshan
Posted on: Aug 11, 2019",Sudarshan
Satiated,HSBC Bank Credit Card,Satiated with the kind of savings this card is bringing my way.,"Sheena
Posted on: Aug 11, 2019",Sheena
Happy,HSBC Bank Credit Card,Happy that HSBC just keeps adding new offers on this card.,"Harjeet
Posted on: Aug 11, 2019",Harjeet
Online shopping,HSBC Bank Credit Card,"For me, online shopping is pretty rewarding. The reason is definitely this brilliant card.","Omar
Posted on: Aug 11, 2019",Omar
Flipkart,HSBC Bank Credit Card,Got a great 10% discount on shopping done with Flipkart.,"Firoz
Posted on: Aug 11, 2019",Firoz
Swiggy,HSBC Bank Credit Card,Got a flat discount of INR 250 on Swiggy order with my card.,"Sera
Posted on: Aug 11, 2019",Sera
Satiated,HSBC Bank Credit Card,Satiated with the fine mix of benefits available with this card.,"Supriya
Posted on: Aug 11, 2019",Supriya
Rewards,HSBC Bank Credit Card,Receiving several rewards and offers with my HSBC card.,"Reema
Posted on: Aug 11, 2019",Reema
Happy,HSBC Bank Credit Card,Happy that the team had been so helpful all through my term with HSBC.,"Himmat
Posted on: Aug 11, 2019",Himmat
Bookmyshow Voucher,HSBC Bank Credit Card,I got a Bookmyshow Voucher from HSBC worth INR 250 with this card as a welcome offer.,"Bhuvan
Posted on: Aug 11, 2019",Bhuvan
Eating out,HSBC Bank Credit Card,"I enjoy eating out. So, I feel my eating out is pretty sorted with this HSBC card.","Ashika
Posted on: Aug 11, 2019",Ashika
Movies,HSBC Bank Credit Card,Had a good saving of INR 3000 on the movies with my card.,"Mani
Posted on: Aug 11, 2019",Mani
Introductory benefits,HSBC Bank Credit Card,Got several introductory benefits with my card. Love it!,"Anshita
Posted on: Aug 11, 2019",Anshita
Vast array of savings,HSBC Bank Credit Card,Never have I seen or experienced a credit card bringing in such a vast array of savings.,"Vipin
Posted on: Aug 11, 2019",Vipin
Happy and content,HSBC Bank Credit Card,So happy and content with my experience with HSBC card.,"Hitakshi
Posted on: Aug 11, 2019",Hitakshi
HSBC credit card,HSBC Bank Credit Card,Been associated with this HSBC credit card for about 2 years now. What a truly delighting experience.,"Himansh
Posted on: Aug 11, 2019",Himansh
Introductory benefit,HSBC Bank Credit Card,Got an introductory benefit of INR 4250 with my HSBC card. Love it!,"Anokhi
Posted on: Aug 11, 2019",Anokhi
Happy,HSBC Bank Credit Card,Happy with the good array of benefits that I am getting with my card.,"Uma
Posted on: Aug 11, 2019",Uma
My monthly income,HSBC Bank Credit Card,My monthly income is decent so for me getting this card for me.,"Mia
Posted on: Aug 11, 2019",Mia
Small transaction fee,HSBC Bank Credit Card,There is a small transaction fee of 2.5% applicable on this card.,"Sia
Posted on: Aug 11, 2019",Sia
Love this card,HSBC Bank Credit Card,Love this card. It is perfect for me! I like the benefits that come with it!,"Lisha
Posted on: Aug 11, 2019",Lisha
Perfect card,HSBC Bank Credit Card,This is the perfect card which assures a good variety of savings.,"Pia
Posted on: Aug 11, 2019",Pia
Happy,HSBC Bank Credit Card,Happy that the approval for my HSBC card came quick and easy.,"Harsh
Posted on: Aug 11, 2019",Harsh
Perfect,HSBC Bank Credit Card,This is a good card which assures good savings. Perfect!,"Prakash
Posted on: Aug 11, 2019",Prakash
Reasonable foreign markup fees,HSBC Bank Credit Card,There is a very reasonable foreign markup fees applicable on my HSBC card.,"Rekha
Posted on: Aug 11, 2019",Rekha
I was in Dubai,HSBC Bank Credit Card,I was in Dubai and did all my shopping with my card.,"Mehak
Posted on: Aug 11, 2019",Mehak
India and abroad,HSBC Bank Credit Card,This is a card which is accepted at all merchants in India and abroad.,"John
Posted on: Aug 11, 2019",John
Use the card,HSBC Bank Credit Card,It is possible for me to use the card in India and overseas.,"Uma
Posted on: Aug 11, 2019",Uma
No hidden cost,HSBC Bank Credit Card,There is just no hidden cost applicable with my card. It is the best!,"Nita
Posted on: Aug 11, 2019",Nita
No lengthy and difficult process,HSBC Bank Credit Card,Glad that there was no lengthy and difficult process involved with my card.,"Naksh
Posted on: Aug 11, 2019",Naksh
Happy with my fine benefits,HSBC Bank Credit Card,Happy with my fine benefits on dining and movies with this card.,"Kabir
Posted on: Aug 11, 2019",Kabir
No fee applicable,HSBC Bank Credit Card,Love the fact that there is no fee applicable for getting on board with HSBC.,"Nia
Posted on: Aug 11, 2019",Nia
Good savings,HSBC Bank Credit Card,The reward points accrued on this card bring in good savings.,"Gopal
Posted on: Aug 11, 2019",Gopal
Visa and Mastercard payments,HSBC Bank Credit Card,The card is accepted at all the merchants accepting Visa and Mastercard payments.,"Vibha
Posted on: Aug 11, 2019",Vibha
Super content,HSBC Bank Credit Card,Super content with the amazing benefits and good online deals.,"Sona
Posted on: Aug 11, 2019",Sona
Good savings,HSBC Bank Credit Card,It is an all in one card that assures good savings and fine benefits.,"Shikhar
Posted on: Aug 11, 2019",Shikhar
Savings on fuel,HSBC Bank Credit Card,Savings on fuel is a fine benefit available with this card.,"Shayan
Posted on: Aug 11, 2019",Shayan
BMS voucher,HSBC Bank Credit Card,Got a free BMS voucher worth INR 250 as an introductory offers.,"Garry
Posted on: Aug 11, 2019",Garry
Stores online and offline,HSBC Bank Credit Card,"Happy that at stores online and offline, I get good savings with my card.","Somnath
Posted on: Aug 11, 2019",Somnath
Cashback deals,HSBC Bank Credit Card,The cashback deals of this card are the best! Love it!,"John
Posted on: Aug 11, 2019",John
HSBC card,HSBC Bank Credit Card,Love this HSBC card and the fine benefits that come with it!,"Harry
Posted on: Aug 11, 2019",Harry
Simple documentation,HSBC Bank Credit Card,Glad that there is a simple documentation involved on this HSBC card.,"Sanjana
Posted on: Aug 11, 2019",Sanjana
Paperless mechanism,HSBC Bank Credit Card,A 100% paperless mechanism was followed by HSBC for this card.,"Pia
Posted on: Aug 11, 2019",Pia
Vast gift catalogue,HSBC Bank Credit Card,Happy that there is a vast gift catalogue of HSBC for me to redeem my points,"Vibha
Posted on: Aug 11, 2019",Vibha
Redeem my reward points,HSBC Bank Credit Card,I could easily redeem my reward points against the gift vouchers and shop at partner merchants.,"Ritu
Posted on: Aug 11, 2019",Ritu
So happy,HSBC Bank Credit Card,So happy that I could redeem my credit card points against the airmiles for Airline benefit.,"Sushma
Posted on: Aug 11, 2019",Sushma
Quick simple and hassle free mechanism,HSBC Bank Credit Card,"There is a quick, simple and hassle free mechanism for the redemption of this card.","Farida
Posted on: Aug 11, 2019",Farida
Redemption of this card,HSBC Bank Credit Card,Glad that only INR 50 was charged from me for the redemption of this card.,"Rishab
Posted on: Aug 11, 2019",Rishab
Super happy,HSBC Bank Credit Card,Super happy that the team of HSBC got me my card in just 5 days.,"Sia
Posted on: Aug 11, 2019",Sia
I am happy,HSBC Bank Credit Card,I am happy that I got my approval for the HSBC card in no time.,"Uma
Posted on: Aug 11, 2019",Uma
Team was so very helpful,HSBC Bank Credit Card,Glad that the team was so very helpful in getting me this HSBC card.,"Tia
Posted on: Aug 11, 2019",Tia
Super happy,HSBC Bank Credit Card,Super happy that I got my HSBC card approval in no time.,"Supriya
Posted on: Aug 11, 2019",Supriya
I am happy,HSBC Bank Credit Card,I am happy that the agents at HSBC helped me get an approval on my card.,"Jigar
Posted on: Aug 11, 2019",Jigar
Approval on my HSBC card,HSBC Bank Credit Card,For me getting an approval on my HSBC card was so easy and hassle free.,"Ashka
Posted on: Aug 11, 2019",Ashka
Grace period,HSBC Bank Credit Card,There is a grace period of no interest of 50 days available with my HSBC card.,"Gagan
Posted on: Aug 11, 2019",Gagan
Revolving credit,HSBC Bank Credit Card,There is a revolving credit of 39.6% applicable on my HSBC card.,"Rumi
Posted on: Aug 11, 2019",Rumi
Minimum applicable dues,HSBC Bank Credit Card,"After paying the minimum applicable dues, I was pretty sorted.","Meena
Posted on: Aug 11, 2019",Meena
No hassle faced,HSBC Bank Credit Card,There was no hassle faced by me for getting an approval on my card.,"Nupur
Posted on: Aug 11, 2019",Nupur
Happy and thrilled,HSBC Bank Credit Card,Happy and thrilled that HSBC granted me a card with ease.,"Kian
Posted on: Aug 11, 2019",Kian
Duplicate statement,HSBC Bank Credit Card,There is only a fee of INR 100 that is charged from me for a duplicate statement.,"Dia
Posted on: Aug 11, 2019",Dia
Minimum amount due,HSBC Bank Credit Card,I just cleared the minimum amount due and had the remianing balance converted to EMI.,"Lekha
Posted on: Aug 11, 2019",Lekha
Finance cost applicable,HSBC Bank Credit Card,Finance cost applicable on my HSBC card is fairly decent. It is charged at only 3.3% per month.,"Shekhar
Posted on: Aug 11, 2019",Shekhar
Benefit of an add on card,HSBC Bank Credit Card,There is a benefit of an add on card applicable with this card.,"Bharti
Posted on: Aug 11, 2019",Bharti
Finance cost,HSBC Bank Credit Card,The finance cost is best with HSBC. It is low cost and great.,"Farida
Posted on: Aug 11, 2019",Farida
No joining or annual fee,HSBC Bank Credit Card,There is no joining or annual fee applicable on my HSBC card.,"Neeta
Posted on: Aug 11, 2019",Neeta
Good rewards via AirMiles,HSBC Bank Credit Card,There are good rewards via AirMiles conversion with the Singapore Airlines on my card.,"Meena
Posted on: Aug 11, 2019",Meena
Utility bill payments,HSBC Bank Credit Card,It is easy to make utility bill payments with this card.,"Hanan
Posted on: Aug 11, 2019",Hanan
Several partner members,HSBC Bank Credit Card,There are several partner members of HSBC which bring in good and extra points on shopping with HSBC.,"Sid
Posted on: Aug 11, 2019",Sid
Off with my card,HSBC Bank Credit Card,"On more than 1000 restaurants, I am getting 15% off with my card.","Omkar
Posted on: Aug 11, 2019",Omkar
Enhanced benefit on AirMiles,HSBC Bank Credit Card,There is an enhanced benefit on AirMiles with Singapore Airlines through Air Miles conversion.,"Ashka
Posted on: Aug 11, 2019",Ashka
Fuel with my HSBC card,HSBC Bank Credit Card,I had a saving of INR 250 on fuel with my HSBC card.,"Farida
Posted on: Aug 11, 2019",Farida
Surcharge is exempt,HSBC Bank Credit Card,100% amount of surcharge is exempt with my HSBC card.,"Soha
Posted on: Aug 11, 2019",Soha
Good accelerated rewards,HSBC Bank Credit Card,"From 4 to 10 lac, I got good accelerated rewards with my card.","Yaman
Posted on: Aug 11, 2019",Yaman
Accelerated benefit,HSBC Bank Credit Card,The accelerated benefit method of my card is the best. Love it.,"Akshay
Posted on: Aug 11, 2019",Akshay
I am glad,HSBC Bank Credit Card,"I am glad that on spending INR 150, I got 2 reward points with this card.","Anju
Posted on: Aug 11, 2019",Anju
Good card,HSBC Bank Credit Card,This is a good card which assures massive benefits and good savings.,"Gagan
Posted on: Aug 11, 2019",Gagan
Plethora of entertainment savings,HSBC Bank Credit Card,There is a plethora of entertainment savings available with my card,"Pankaj
Posted on: Aug 11, 2019",Pankaj
Movies,HSBC Bank Credit Card,"On my spending on 50,000, I got a voucher of INR 500 on movies.","Mia
Posted on: Aug 11, 2019",Mia
Cashback benefit,HSBC Bank Credit Card,"There is a 10,000 cashback benefit on my card. Love it!","Garima
Posted on: Aug 11, 2019",Garima
Love it,HSBC Bank Credit Card,"The dining, movie and telecom privileges of my card are the best. Love it!","Lavish
Posted on: Aug 11, 2019",Lavish
Concierge assistance,HSBC Bank Credit Card,The concierge assistance available with my card is amazing. Love it!,"Shyam
Posted on: Aug 11, 2019",Shyam
Plethora of introductory offers,HSBC Bank Credit Card,There is a plethora of introductory offers available with my card.,"Priya
Posted on: Aug 11, 2019",Priya
Milestone offers,HSBC Bank Credit Card,The milestone offers on this card are the best! It brings in good points.,"Martha
Posted on: Aug 11, 2019",Martha
Good discount,HSBC Bank Credit Card,Got a good discount on my order with Swiggy. It is perfect!,"Himansh
Posted on: Aug 11, 2019",Himansh
Cleartrip,HSBC Bank Credit Card,There is an introductory Cleartrip offer available with this card.,"Yashi
Posted on: Aug 11, 2019",Yashi
Transaction with Swiggy,HSBC Bank Credit Card,"On my first transaction with Swiggy, I got a discount of INR 250 with my card.","Tia
Posted on: Aug 11, 2019",Tia
Outlets all around the world,HSBC Bank Credit Card,"In more than 22,000 outlets all around the world, I can avail cash on an emergency.","Omar
Posted on: Aug 11, 2019",Omar
Cash on an emergency,HSBC Bank Credit Card,"In more than 22,000 outlets all around the world, I can avail cash on an emergency.","Umesh
Posted on: Aug 11, 2019",Umesh
I opted for this card,HSBC Bank Credit Card,I opted for this card after knowing the high value of savings it offers.,"Umesh
Posted on: Aug 11, 2019",Umesh
Flexi pay available,HSBC Bank Credit Card,There is a option of flexi pay available for my HSBC card.,"Yashi
Posted on: Aug 11, 2019",Yashi
